image_num,golden_label,predicted_label,energy,output0,output1,output2,output3,output4,output5,output6,output7,output8,output9
0,7,7,1.518149376432104e-10,0.32394,0.0044768,0.054202,0.18914,0.0049443,0.0029593,0.0011568,0.79868,0.75749,0.25661
1,2,2,1.4979992969561748e-10,0.47194,0.3898,0.79754,0.26678,0.0047988,0.0012837,0.38597,0.0021071,0.10902,0.0060613
2,1,1,1.519651628757918e-10,0.014643,0.79849,0.021692,0.02397,0.01863,0.0030739,0.71961,0.012719,0.31398,0.046303
3,0,0,1.5464536807291718e-10,0.79877,0.03969,0.0074899,0.014214,0.099546,0.024545,0.57059,0.014994,0.041716,0.036526
4,4,4,1.563809321481155e-10,0.016171,0.0073495,0.15016,0.011999,0.79867,0.0011042,0.036953,0.051331,0.037681,0.094351
5,1,1,1.603156972771368e-10,0.022164,0.79857,0.021632,0.016578,0.19866,0.003706,0.72924,0.019046,0.15472,0.037667
6,4,4,1.4430006175106822e-10,0.0010718,0.025026,0.023623,0.0011931,0.78144,0.014809,0.007456,0.0027105,0.75038,0.1213
7,9,9,1.5453593743050066e-10,0.45426,0.0031459,0.66091,0.022136,0.17101,0.0040566,0.014524,0.043458,0.33468,0.79878
8,5,5,1.4877098671465327e-10,0.21916,0.0011098,0.0063818,0.036631,0.33232,0.79879,0.73962,0.0058759,0.75608,0.031883
9,9,9,1.364816042620319e-10,0.43809,0.0074784,0.038503,0.019491,0.16014,0.032167,0.0022969,0.035436,0.55299,0.79846
10,0,0,1.5793767754440863e-10,0.79876,0.042066,0.16697,0.0084904,0.0074511,0.0059929,0.3019,0.009571,0.11563,0.19043
11,6,6,1.410221909547844e-10,0.16644,0.1695,0.29757,0.0024702,0.31999,0.097008,0.79869,0.0015097,0.44016,0.022982
12,9,9,1.5211830322765422e-10,0.27754,0.0042105,0.010255,0.030078,0.44964,0.0048219,0.0049686,0.016946,0.43587,0.79877
