image_num,golden_label,predicted_label,energy,output0,output1,output2,output3,output4,output5,output6,output7,output8,output9,latency0,latency1,latency2,latency3,latency4,latency5,latency6,latency7,latency8,latency9
0,7,7,1.2821e-10,0.34534,0.19035,0.28065,0.2936,0.12916,0.13086,0.049117,0.67216,0.38828,0.30634,1.61847e-10,2.37303e-10,6.16355e-11,1.61847e-10,1.61847e-10,2.37303e-10,1.95675e-10,2.37303e-10,1.95675e-10,2.37303e-10
1,2,2,1.257e-10,0.38204,0.31755,0.53525,0.39702,0.14659,0.084898,0.30782,0.18108,0.33682,0.17046,1.521099999999998e-10,2.2620999999999978e-10,2.2620999999999978e-10,1.770599999999998e-10,3.5743999999999996e-10,1.521099999999998e-10,2.2620999999999978e-10,2.2620999999999978e-10,2.6433000000000006e-10,1.770599999999998e-10
2,1,1,1.2729e-10,0.20033,0.6578,0.19374,0.18468,0.31761,0.22093,0.36332,0.18108,0.27837,0.22822,2.358899999999993e-10,2.358899999999993e-10,2.358899999999993e-10,2.358899999999993e-10,2.358899999999993e-10,2.358899999999993e-10,1.6275999999999914e-10,3.470099999999996e-10,2.358899999999993e-10,2.358899999999993e-10
3,0,0,1.2565e-10,0.6254,0.20594,0.27166,0.15807,0.21006,0.24134,0.37605,0.23235,0.25559,0.27744,1.8599999999999915e-10,1.8599999999999915e-10,2.639999999999999e-10,1.8599999999999915e-10,2.639999999999999e-10,1.8599999999999915e-10,1.2110000000000034e-10,2.639999999999999e-10,2.639999999999999e-10,1.8599999999999915e-10
4,4,4,1.2738e-10,0.24644,0.15615,0.28198,0.20645,0.62027,0.09546,0.25808,0.24103,0.2235,0.3614,2.442999999999984e-10,1.648999999999997e-10,3.286999999999995e-10,1.648999999999997e-10,2.442999999999984e-10,1.648999999999997e-10,2.442999999999984e-10,3.286999999999995e-10,3.286999999999995e-10,1.648999999999997e-10
5,1,1,1.2588e-10,0.23943,0.62743,0.21439,0.2341,0.31179,0.1721,0.33529,0.15003,0.31322,0.22893,3.6819999999999796e-10,2.4380000000000116e-10,2.4380000000000116e-10,1.7440000000000056e-10,2.4380000000000116e-10,2.4380000000000116e-10,2.4380000000000116e-10,2.4380000000000116e-10,2.4380000000000116e-10,2.4380000000000116e-10
6,4,4,1.2775e-10,0.13527,0.24021,0.25103,0.11588,0.51867,0.21596,0.23374,0.1294,0.38205,0.33895,1.9350000000000104e-10,1.9350000000000104e-10,1.9350000000000104e-10,1.9350000000000104e-10,1.9350000000000104e-10,3.110000000000019e-10,1.9350000000000104e-10,1.6269999999999986e-10,1.9350000000000104e-10,1.9350000000000104e-10
7,9,9,1.2626e-10,0.31277,0.17717,0.3409,0.27323,0.3499,0.15549,0.18198,0.18877,0.29463,0.55328,2.2349999999999866e-10,2.2349999999999866e-10,2.2349999999999866e-10,2.2349999999999866e-10,2.2349999999999866e-10,2.2349999999999866e-10,2.2349999999999866e-10,2.2349999999999866e-10,2.2349999999999866e-10,2.2349999999999866e-10
8,5,5,1.2776e-10,0.30282,0.093364,0.16675,0.21723,0.30156,0.48788,0.40102,0.11372,0.40376,0.27685,2.6689999999999956e-10,1.8040000000000074e-10,2.1829999999999872e-10,2.1829999999999872e-10,2.1829999999999872e-10,2.1829999999999872e-10,2.1829999999999872e-10,2.1829999999999872e-10,2.1829999999999872e-10,2.6689999999999956e-10
9,9,9,1.2681e-10,0.33414,0.12725,0.21996,0.1927,0.33745,0.18984,0.10465,0.25638,0.41229,0.5222,2.504000000000007e-10,2.504000000000007e-10,2.504000000000007e-10,2.504000000000007e-10,1.7640000000000282e-10,2.504000000000007e-10,2.504000000000007e-10,2.504000000000007e-10,5.610000000000273e-11,2.504000000000007e-10
